"date","close","volume","open","high","low"
"16:00","30.16","18,357,507","30.59","31.80","28"
"2020/03/30","30.1600","18386440.0000","30.6900","31.8000","28.0000"
"2020/03/27","32.8400","18379570.0000","35.0200","35.2000","32.0300"
"2020/03/26","35.5500","29647800.0000","38.3800","39.7800","34.5300"
"2020/03/25","36.6000","32988800.0000","38.0000","39.4700","33.2900"
"2020/03/24","33.0000","31502490.0000","31.9900","34.1500","30.0100"
"2020/03/23","26.2500","25585770.0000","25.9700","26.6000","23.3700"
"2020/03/20","24.5000","37407970.0000","23.3700","30.7400","22.2000"
"2020/03/19","21.2800","31611170.0000","21.3400","23.9900","18.0900"
"2020/03/18","21.3800","35372670.0000","28.8100","28.9700","17.8000"
"2020/03/17","30.6700","21078870.0000","36.4900","38.1400","30.0500"
"2020/03/16","35.4700","28259540.0000","34.3400","39.3700","30.3800"
"2020/03/13","41.6400","24135260.0000","41.3300","42.4900","34.0000"
"2020/03/12","37.0800","19423640.0000","42.7700","44.3100","37.0100"
"2020/03/11","49.3400","10917060.0000","50.5300","51.2300","48.0500"
"2020/03/10","52.5600","15642910.0000","51.0000","54.3300","46.6200"
"2020/03/09","46.7800","12307560.0000","49.5850","50.9900","45.9150"
"2020/03/06","52.1000","16492240.0000","48.6100","56.0000","48.2601"
"2020/03/05","51.5900","13974730.0000","57.1100","57.1600","50.9300"
"2020/03/04","59.4700","10671200.0000","59.5100","59.7400","56.3150"
"2020/03/03","58.2900","9208799.0000","63.1400","63.5300","57.9600"
"2020/03/02","61.2600","13015180.0000","61.1300","61.2700","57.0425"
"2020/02/28","61.5900","9957999.0000","62.8500","64.8799","60.8250"
"2020/02/27","64.9400","10257090.0000","62.9000","69.0200","61.2000"
"2020/02/26","66.5300","9372177.0000","71.7500","71.9100","65.8900"
"2020/02/25","70.5700","8076210.0000","75.7600","76.1800","70.3200"
"2020/02/24","75.4700","6332868.0000","75.0800","76.0200","73.6500"
"2020/02/21","78.0100","4545057.0000","79.4000","79.4000","77.3200"
"2020/02/20","79.9100","2893884.0000","79.3000","81.6700","79.3000"
"2020/02/19","79.4200","3350290.0000","80.9400","80.9400","79.1900"
